Algo,Energy,Damp,y,γ,γfact,D,N,Assignments
AP,0.4808821594676946,0.7,-1.0,-1.0,-1.0,2,1000,0.7989999999999999
rAP,0.4763355514282522,0.7,10.0,0.1,1.1,2,1000,0.7989999999999999
AP,6.734833121502926,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,4.357274728639284,0.7,10.0,0.1,1.1,2,1000,0.999
AP,0.7871665283136318,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4813992675376241,0.7,10.0,0.1,1.1,2,1000,0.6859999999999999
AP,3.186088160743683,0.7,-1.0,-1.0,-1.0,2,1000,0.995
rAP,3.5469510794203636,0.7,10.0,0.1,1.1,2,1000,1.0
AP,6.919480197635301,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,4.747491129420228,0.7,10.0,0.1,1.1,2,1000,0.999
AP,6.753480731664337,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,0.48288924936001476,0.7,10.0,0.1,1.1,2,1000,0.998
AP,7.239192573368207,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,0.48182892467855276,0.7,10.0,0.1,1.1,2,1000,0.76
AP,7.814159679302434,0.7,-1.0,-1.0,-1.0,2,1000,0.997
rAP,0.49734245568942,0.7,10.0,0.1,1.1,2,1000,0.72
AP,2.4893744245801144,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.5061601645694364,0.7,10.0,0.1,1.1,2,1000,1.0
AP,0.6285759560301435,0.7,-1.0,-1.0,-1.0,2,1000,0.8049999999999999
rAP,4.154045407577896,0.7,10.0,0.1,1.1,2,1000,0.998
AP,0.48260993380890393,0.7,-1.0,-1.0,-1.0,2,1000,0.985
rAP,0.4860525963141071,0.7,10.0,0.1,1.1,2,1000,0.981
AP,7.298654125722026,0.7,-1.0,-1.0,-1.0,2,1000,0.997
rAP,0.474255776810488,0.7,10.0,0.1,1.1,2,1000,0.912
AP,8.960953733924988,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4811694632279873,0.7,10.0,0.1,1.1,2,1000,0.8
AP,0.47990399194142025,0.7,-1.0,-1.0,-1.0,2,1000,0.813
rAP,0.47784656012416926,0.7,10.0,0.1,1.1,2,1000,0.817
